iter	Passed	Remaining
768	991	297
769	992	296
770	993	295
771	994	293
772	995	292
773	996	291
774	997	289
775	998	288
776	999	286
777	1001	285
778	1002	284
779	1003	282
780	1004	281
781	1005	280
782	1006	278
783	1007	277
784	1008	276
785	1009	274
786	1011	273
787	1012	272
788	1013	270
789	1014	269
790	1015	268
791	1016	267
792	1017	265
793	1018	264
794	1019	263
795	1021	261
796	1022	260
797	1023	259
798	1024	257
799	1025	256
800	1026	255
801	1028	253
802	1029	252
803	1030	251
804	1031	249
805	1032	248
806	1033	247
807	1034	245
808	1035	244
809	1036	243
810	1038	241
811	1039	240
812	1040	239
813	1041	237
814	1042	236
815	1043	235
816	1044	234
817	1045	232
818	1046	231
819	1047	230
820	1048	228
821	1050	227
822	1051	226
823	1052	224
824	1053	223
825	1054	222
826	1055	220
827	1056	219
828	1057	218
829	1058	216
830	1060	215
831	1061	214
832	1062	212
833	1063	211
834	1064	210
835	1065	209
836	1066	207
837	1067	206
838	1068	205
839	1069	203
840	1070	202
841	1072	201
842	1073	199
843	1074	198
844	1075	197
845	1076	195
846	1077	194
847	1078	193
848	1079	192
849	1080	190
850	1082	189
851	1083	188
852	1084	186
853	1085	185
854	1086	184
855	1087	182
856	1088	181
857	1089	180
858	1090	179
859	1091	177
860	1093	176
861	1094	175
862	1095	173
863	1096	172
864	1097	171
865	1098	169
866	1099	168
867	1100	167
868	1101	166
869	1102	164
870	1103	163
871	1105	162
872	1106	160
873	1107	159
874	1108	158
875	1109	157
876	1110	155
877	1111	154
878	1112	153
879	1113	151
880	1114	150
881	1115	149
882	1117	148
883	1118	146
884	1119	145
885	1120	144
886	1121	142
887	1122	141
888	1123	140
889	1124	139
890	1125	137
891	1127	136
892	1128	135
893	1129	133
894	1130	132
895	1131	131
896	1132	130
897	1133	128
898	1134	127
899	1136	126
900	1137	124
901	1138	123
902	1139	122
903	1140	121
904	1141	119
905	1142	118
906	1143	117
907	1144	116
908	1145	114
909	1147	113
910	1148	112
911	1149	110
912	1150	109
913	1151	108
914	1152	107
915	1153	105
916	1154	104
917	1155	103
918	1156	101
919	1158	100
920	1159	99
921	1160	98
922	1161	96
923	1162	95
924	1163	94
925	1164	93
926	1165	91
927	1166	90
928	1168	89
929	1169	88
930	1170	86
931	1171	85
932	1172	84
933	1173	82
934	1174	81
935	1175	80
936	1176	79
937	1177	77
938	1178	76
939	1180	75
940	1181	74
941	1182	72
942	1183	71
943	1184	70
944	1185	69
945	1186	67
946	1187	66
947	1188	65
948	1190	63
949	1191	62
950	1192	61
951	1193	60
952	1194	58
953	1195	57
954	1196	56
955	1197	55
956	1198	53
957	1199	52
958	1201	51
959	1202	50
960	1203	48
961	1204	47
962	1205	46
963	1206	45
964	1207	43
965	1208	42
966	1210	41
967	1211	40
968	1212	38
969	1213	37
970	1214	36
971	1215	35
972	1216	33
973	1217	32
974	1218	31
975	1219	29
976	1220	28
977	1222	27
978	1223	26
979	1224	24
980	1225	23
981	1226	22
982	1227	21
983	1229	19
984	1230	18
985	1231	17
986	1232	16
987	1233	14
988	1234	13
989	1235	12
990	1236	11
991	1237	9
992	1239	8
993	1240	7
994	1241	6
995	1242	4
996	1243	3
997	1244	2
998	1245	1
999	1246	0
